tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
"metal,isopor,papel,plastico,vidro",Barro,Sudoeste,Rua José Benedito Mouri Fernandes,Rua Cap. Ponciano,Ecoponto,-8.095265,-34.94353
"metal,isopor,papel,plastico,vidro",Areias,Sudoeste,Rua Ipojuca,Praça Heróis da Restauração,Ecoponto,-8.097034,-34.936117
"metal,isopor,papel,plastico,vidro",Jardim São Paulo,Sudoeste,Rua Nossa Senhora de Fatima,Praça de Jardim São Paulo,Ecoponto,-8.08196,-34.938121
"metal,isopor,papel,plastico,vidro",Cohab,Sul,Av. Rio Largo,Atras do E.M. Cristiano Cordeiro,EcoEstação,-8.116778,-34.943389
"metal,isopor,papel,plastico,vidro",Ibura,Sul,Rua Rio das Pedras,Tech Infor Informática,EcoEstação,-8.116722,-34.94328
"metal,isopor,papel,plastico,vidro",Caçote,Sudoeste,Av. Recife,em frente do EMLURB,Ecoponto,-8.102002,-34.92827
"metal,isopor,papel,plastico,vidro",Poço,Noroeste,Rua Eng. Oscár Ferreira,338,Amape-Associação Meio Ambiente Preservar e Educar,-8.029387,-34.922791
"metal,isopor,papel,plastico,vidro",Dois Unidos,Norte,Rua Mamede Coelho,53,Associação de trapeiros do Emaús,-8.005428,-34.903342
"metal,isopor,papel,plastico,vidro",Parnamirim,Noroeste,Rua Desembargador Góis Cavalcante,261,Pão de Açúcar do Parnamirim,-8.031581,-34.90845
eletrônico,Guabiraba,Noroeste,Av. da Recuperação,318,CRC Marista,-8.016326,-34.940215
Medicamentos,Torre,Oeste,Rua José Bonifácio,1315,Drogarias Carrefour,-8.040099,-34.909766
Óleos de Cozinha,Afogados,Sudoeste,Rua da Paz,82,ASA Portaria,-8.079229,-34.904414
Óleos de Cozinha,Afogados,Sudoeste,Rua São Miguel,250,Procuradoria Geral de Justiça,-8.066962,-34.885139
Óleos de Cozinha,Bomba do Hemetério,Norte,Rua Chã de Alegria,117,Escola Prof. Mardonio de Andrade Lima Coelho,-8.020803,-34.903803
eletrônico,Jaqueira,Noroeste,Rua do futuro,959,Econúcleo Jaqueira,-8.035791,-34.904969
eletrônico,Boa Vista,Centro,Av. Governador Carlos de Lima Cavalcanti,Ao lado do Posto Dom Bosco,Empresa de Manutenção e Limpeza Urbana,-8.056214,-34.895461
eletrônico,Água Fria,Norte,Av. Aníbal Benévolo,1552 - ao lado Centro Comunitária da Paz - COMPAZ- Alto Santa Terezinha,Compaz Alto Santa Terezinha,-8.010403,-34.903292
eletrônico,Jiquiá,Sudoeste,Av. General San Martin,Ao lado do Condomínio Morada Recife Antigo,Compaz San Martin,-8.060022,-34.926157
